Country,2007-09,2010-12
Latvia,312,312
Lithuania,247,307
Estonia,266,253
Czech Republic,198,217
Poland,228,214
Slovakia,159,197
Hungary,148,169
England and Wales(UK),151,154
Scotland(UK),150,154
Spain,158,152
Romania,132,150
Malta,126,143
Bulgaria,132,132
Luxembourg,139,126
Portugal,106,120
Croatia,108,116
Italy,98,113
Greece,105,112
France,99,106
Austria,101,104
Belgium,93,101
Northern Ireland(UK),84,91
The Netherlands,90,84
Germany,89,84
Ireland,76,80
Cyprus,84,78
Denmark,66,72
Sweden,74,71
Slovenia,66,65
Finland,63,60
